"Time (s)"	"Acceleration (m/s²)"
3.205925444E1	-2.226305008E-2
3.209925444E1	4.020857811E-2
3.213925444E1	1.322138309E-1
3.217925477E1	5.522918701E-2
3.222925444E1	-8.973655701E-2
3.226925444E1	-1.024563313E-1
3.230925460E1	-1.822319031E-1
3.235925410E1	1.145338058E-1
3.239925410E1	-3.480553627E-2
3.243925477E1	-2.131686211E-1
3.248925443E1	4.819469452E-2
3.252925460E1	1.656293869E-2
3.256925460E1	4.037141800E-2
3.261925443E1	-2.891273499E-2
3.265925443E1	2.887129784E-2
3.269925477E1	-2.358233929E-1
3.274925410E1	2.032560349E-1
3.278925410E1	8.809494972E-2
3.283925393E1	-3.735548019E-1
3.287925393E1	6.929945946E-2
3.291925426E1	8.399963379E-2
3.295925426E1	1.242849827E-1
3.300925393E1	4.674377441E-2
3.304925410E1	-2.804756165E-1
3.308925410E1	-1.775074005E-2
3.312925410E1	-9.394311905E-2
3.316925443E1	-1.787185669E-2
3.320925443E1	1.816830635E-1
3.325925410E1	-1.323316574E-1
3.329925426E1	-2.843139172E-1
3.334925409E1	4.144151688E-1
3.338925409E1	-8.600091934E-2
3.342925443E1	-3.622446060E-1
3.347925409E1	1.880315781E-1
3.351925409E1	8.869624138E-2
3.355925426E1	-1.911089420E-1
3.360925409E1	-2.439491272E-1
3.364925409E1	1.137013435E-1
3.368925439E1	4.407410622E-1
3.373925406E1	-1.676225662E-1
3.377925422E1	1.432833672E-1
3.381925422E1	-2.366940975E-1
3.385925439E1	-7.339572906E-2
3.389925439E1	3.124217987E-1
3.393925506E1	4.793238640E-2
3.398925476E1	-3.252035141E-1
3.402925526E1	-5.240797997E-2
3.406925526E1	-1.185989380E-2
3.411925509E1	1.793880463E-1
3.416925509E1	1.372987747E-1
3.420925509E1	-3.771133423E-1
3.425925442E1	-6.907844543E-3
3.430925425E1	1.361961365E-1
3.435925408E1	-3.255271912E-3
3.439925408E1	-1.687092781E-1
3.443925442E1	1.187324524E-2
3.448925408E1	3.372695923E-1
3.452925425E1	2.983331680E-3
